x,R
1.007233,37.166
1.011545,37.29439
1.025889,36.6109
1.046362,36.62305
1.046826,36.56178
1.051705,36.32256
1.056073,36.67493
1.066769,36.47885
1.071024,36.11142
1.284873,34.94556
1.286308,34.85627
1.308075,34.52251
1.426923,34.72042
1.45107,34.90643
1.478433,35.10059
1.50801,35.00783
1.508079,34.93858
1.510627,35.03119
1.529615,34.94924
1.554494,34.60203
1.59989,34.44709
1.74367,33.01157
1.749761,33.44747
1.762831,33.11151
1.778639,33.18317
1.81723,33.16784
1.863861,32.92784
1.869101,32.88102
1.913659,32.80455
1.959504,33.30437
